                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0377,                 1.3788,                0.96391,                0.74025,                0.21455,                0.26014,                0.17688,                0.89357,                0.77787,                0.89727,              0.0033292,              0.0033292,              0.0033292
                      2,                0.96998,                0.89225,                0.93462,                0.68599,                0.30075,                0.31985,                0.21305,                0.88026,                0.70104,                 0.8962,              0.0066406,              0.0066406,              0.0066406
                      3,                0.98007,                 0.8278,                 0.9395,                0.71117,                0.29087,                0.32168,                0.21392,                0.87917,                0.68797,                0.89698,              0.0099299,              0.0099299,              0.0099299
                      4,                0.96477,                0.75185,                0.93631,                0.78513,                0.31693,                0.35884,                0.25185,                0.84317,                0.63715,                0.88933,               0.009901,               0.009901,               0.009901
                      5,                0.91658,                0.67961,                 0.9231,                0.78869,                 0.3094,                0.36509,                0.24381,                0.82331,                0.60778,                0.88401,               0.009901,               0.009901,               0.009901
                      6,                0.88852,                0.63996,                0.91501,                0.81962,                0.35284,                0.40764,                0.28943,                0.78823,                0.57144,                0.87633,               0.009868,               0.009868,               0.009868
                      7,                0.86182,                 0.6119,                0.90775,                0.68187,                0.35135,                0.43161,                0.31176,                0.77533,                0.53887,                0.86897,               0.009835,               0.009835,               0.009835
                      8,                 0.8376,                0.59091,                0.90151,                0.78563,                0.36518,                0.42428,                0.29756,                0.76572,                0.53032,                0.86997,               0.009802,               0.009802,               0.009802
                      9,                0.82659,                0.57611,                0.89802,                0.44847,                0.39899,                0.42047,                0.30327,                0.74721,                0.51715,                0.86253,               0.009769,               0.009769,               0.009769
                     10,                0.81195,                0.55969,                0.89218,                  0.652,                0.39601,                 0.4487,                0.31948,                0.74079,                0.50754,                0.86392,               0.009736,               0.009736,               0.009736
                     11,                0.80478,                0.55236,                0.88968,                0.49684,                0.44496,                0.46891,                0.32865,                 0.7215,                0.49716,                0.85772,               0.009703,               0.009703,               0.009703
                     12,                0.79502,                0.54217,                0.88772,                0.72551,                0.40679,                0.46182,                0.32761,                 0.7199,                0.48705,                0.85783,                0.00967,                0.00967,                0.00967
                     13,                0.78378,                0.53247,                0.88528,                0.71979,                0.40401,                0.47283,                0.33987,                0.70643,                0.47475,                0.85332,               0.009637,               0.009637,               0.009637
                     14,                0.77752,                0.52641,                0.88285,                0.71423,                0.43353,                0.49091,                0.34036,                0.71097,                0.47178,                0.85363,               0.009604,               0.009604,               0.009604
                     15,                 0.7712,                0.51667,                0.88092,                0.67913,                0.44392,                0.48293,                0.34931,                0.69784,                0.46389,                0.85175,               0.009571,               0.009571,               0.009571
                     16,                0.76215,                0.51083,                0.87845,                0.51917,                0.49926,                0.48636,                0.34655,                0.68829,                0.46143,                0.84701,               0.009538,               0.009538,               0.009538
                     17,                0.75758,                0.50839,                0.87776,                0.86372,                0.39618,                0.47696,                 0.3456,                0.68935,                0.45748,                0.84813,               0.009505,               0.009505,               0.009505
                     18,                0.75324,                0.50224,                0.87659,                 0.7152,                0.46578,                0.50454,                0.36874,                0.68188,                0.44938,                0.84791,               0.009472,               0.009472,               0.009472
                     19,                0.74658,                0.49717,                0.87372,                0.58598,                0.47012,                0.50556,                0.37148,                0.68369,                0.44814,                0.84721,               0.009439,               0.009439,               0.009439
                     20,                0.74202,                0.49216,                0.87371,                0.60263,                0.45952,                0.51299,                0.36822,                0.67492,                0.43701,                0.84316,               0.009406,               0.009406,               0.009406
                     21,                 0.7383,                0.48757,                0.87107,                 0.6083,                0.47445,                 0.5211,                0.38804,                0.67256,                0.44031,                0.84145,               0.009373,               0.009373,               0.009373
                     22,                0.73188,                 0.4828,                0.86911,                0.81407,                0.42593,                0.51356,                0.37869,                0.66156,                0.43324,                 0.8429,                0.00934,                0.00934,                0.00934
                     23,                0.73189,                0.48097,                0.86999,                0.55407,                0.51184,                0.53198,                0.39794,                0.65902,                0.42929,                0.84202,               0.009307,               0.009307,               0.009307
                     24,                0.72438,                0.47581,                0.86756,                0.71388,                0.47525,                0.53401,                  0.397,                0.65723,                0.42454,                0.83929,               0.009274,               0.009274,               0.009274
