                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4202,                 2.8377,                0.86933,                      0,                      0,                      0,                      0,                      0,                 82.821,                      0,              0.0033313,              0.0033313,              0.0033313
                      2,                 1.2826,                  1.418,                0.84389,                      0,                      0,                      0,                      0,                      0,                 124.59,                      0,              0.0066427,              0.0066427,              0.0066427
                      3,                 1.2692,                 1.0187,                0.84077,                      0,                      0,                      0,                      0,                      0,                 132.09,                      0,               0.009932,               0.009932,               0.009932
                      4,                 1.1771,                  0.833,                0.83432,                      0,                      0,                      0,                      0,                      0,                 118.01,                      0,               0.009901,               0.009901,               0.009901
                      5,                 1.0778,                0.71639,                0.82223,                      0,                      0,                      0,                      0,                      0,                 137.57,                      0,               0.009901,               0.009901,               0.009901
