                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                  1.088,                0.82041,                0.94607,                0.62371,                0.47148,                0.52728,                0.33166,                 1.1593,                 1.0464,                 1.0031,               0.007756,               0.007756,               0.007756
                     37,                 1.0581,                0.79479,                0.93259,                 0.6507,                0.46943,                0.53053,                0.34539,                 1.2046,                 1.0648,                 1.0119,                0.00769,                0.00769,                0.00769
                     38,                 1.0782,                0.80766,                0.93852,                0.55762,                0.51587,                0.51384,                0.32521,                 1.2101,                 1.0913,                0.99118,               0.007624,               0.007624,               0.007624
                     39,                   1.05,                0.80021,                0.92902,                0.76871,                0.41172,                 0.5191,                0.33683,                 1.1665,                 1.0674,                0.99365,               0.007558,               0.007558,               0.007558
                     40,                 1.0351,                0.77195,                0.92583,                0.74749,                0.44278,                0.55908,                0.36089,                 1.1819,                 1.0526,                0.99779,               0.007492,               0.007492,               0.007492
                     41,                 1.0347,                 0.7733,                0.92419,                0.65879,                0.52618,                0.56787,                0.35652,                 1.1661,                 1.0483,                0.99431,               0.007426,               0.007426,               0.007426
                     42,                 1.0346,                0.77723,                0.93175,                0.66208,                0.53483,                0.58067,                0.36794,                 1.1423,                0.99792,                0.98308,                0.00736,                0.00736,                0.00736
                     43,                 1.0319,                 0.7718,                0.92262,                0.73234,                0.46142,                0.54719,                 0.3504,                 1.1411,                  1.026,                0.98067,               0.007294,               0.007294,               0.007294
                     44,                 1.0327,                0.76284,                0.92653,                0.81417,                0.45966,                0.54538,                0.35856,                 1.1686,                 1.0535,                0.98568,               0.007228,               0.007228,               0.007228
                     45,                 1.0334,                0.76349,                0.92615,                0.64596,                0.51171,                 0.5371,                0.34995,                 1.1498,                  1.087,                0.98074,               0.007162,               0.007162,               0.007162
                     46,                 1.0377,                0.75859,                0.92284,                0.63925,                0.48201,                0.54203,                0.34266,                 1.1596,                 1.0608,                 1.0043,               0.007096,               0.007096,               0.007096
                     47,                 1.0179,                0.74475,                0.92333,                0.70483,                0.49572,                0.55277,                0.35714,                 1.1343,                 1.0042,                0.98885,                0.00703,                0.00703,                0.00703
                     48,                0.98804,                0.72973,                0.91286,                 0.7327,                0.43605,                0.55619,                 0.3713,                 1.1139,                 1.0369,                0.97513,               0.006964,               0.006964,               0.006964
                     49,                 1.0073,                0.73945,                0.91877,                0.70643,                0.48455,                0.57025,                0.36388,                 1.1007,                 1.0014,                0.97838,               0.006898,               0.006898,               0.006898
                     50,                 1.0109,                0.74056,                0.91733,                0.72431,                0.48556,                 0.5438,                0.36211,                 1.1182,                 1.0105,                0.97681,               0.006832,               0.006832,               0.006832
