                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2774,                 1.9336,                 1.0282,                0.60396,                0.15686,                0.14885,                0.09095,                 1.1093,                   1.03,                0.94856,             0.00013313,             0.00013313,             0.00013313
                      2,                 1.1259,                 1.0536,                0.97461,                0.68925,                0.18041,                0.20363,                0.12501,                 1.0601,                0.93311,                 0.9316,             0.00026118,             0.00026118,             0.00026118
                      3,                 1.0727,                0.92893,                0.95845,                0.65454,                 0.2237,                0.24797,                0.15127,                 1.0216,                0.82865,                0.92272,             0.00038396,             0.00038396,             0.00038396
                      4,                 1.0463,                0.85481,                0.95068,                0.63475,                 0.2465,                0.27452,                0.17311,                0.99597,                0.79725,                0.91827,             0.00037624,             0.00037624,             0.00037624
                      5,                 1.0237,                0.80874,                0.94086,                0.68097,                0.26063,                0.29583,                0.18463,                0.96887,                0.75287,                0.91189,             0.00037624,             0.00037624,             0.00037624
                      6,                0.99598,                0.76655,                0.93448,                0.62845,                0.29325,                0.30978,                0.19584,                0.95514,                 0.7283,                0.90954,             0.00036832,             0.00036832,             0.00036832
                      7,                 0.9813,                0.74255,                0.92882,                0.58751,                0.29489,                0.32147,                0.20464,                0.93786,                0.70984,                0.90774,              0.0003604,              0.0003604,              0.0003604
                      8,                0.96897,                0.72325,                0.92455,                0.66053,                0.30131,                0.34062,                0.21321,                0.92808,                0.69061,                0.90136,             0.00035248,             0.00035248,             0.00035248
                      9,                0.95897,                0.70667,                0.92278,                0.63037,                0.30604,                0.35148,                  0.221,                0.92341,                0.68766,                0.90178,             0.00034456,             0.00034456,             0.00034456
                     10,                0.94431,                0.68954,                0.91817,                0.65594,                0.32197,                0.36178,                0.22905,                0.91773,                 0.6651,                0.89871,             0.00033664,             0.00033664,             0.00033664
                     11,                0.93576,                0.67416,                0.91566,                 0.6185,                 0.3588,                 0.3732,                0.23988,                 0.9012,                0.65388,                0.89464,             0.00032872,             0.00032872,             0.00032872
                     12,                0.92639,                0.66634,                0.91143,                0.62035,                0.35398,                0.38165,                0.24586,                0.89845,                0.64735,                0.89297,              0.0003208,              0.0003208,              0.0003208
                     13,                0.91888,                0.65644,                0.91058,                 0.6527,                0.34967,                0.39445,                0.25423,                0.88843,                0.64024,                0.88988,             0.00031288,             0.00031288,             0.00031288
                     14,                0.90865,                0.64273,                0.90751,                0.68011,                0.34534,                0.39418,                0.25469,                0.87997,                0.63103,                 0.8905,             0.00030496,             0.00030496,             0.00030496
                     15,                0.90451,                0.63718,                0.90626,                0.62127,                0.36611,                0.39859,                 0.2587,                0.87267,                0.62127,                0.88803,             0.00029704,             0.00029704,             0.00029704
                     16,                0.89877,                 0.6318,                0.90467,                0.59681,                0.38209,                0.40589,                0.26143,                0.87794,                0.61725,                0.88974,             0.00028912,             0.00028912,             0.00028912
                     17,                0.89041,                0.62237,                 0.9014,                0.57533,                0.39431,                0.41581,                0.27072,                0.87311,                0.60925,                0.88831,              0.0002812,              0.0002812,              0.0002812
                     18,                 0.8866,                 0.6146,                0.90099,                0.59996,                0.37823,                0.41715,                 0.2722,                0.86174,                0.60546,                0.88243,             0.00027328,             0.00027328,             0.00027328
                     19,                0.88074,                0.60895,                0.89819,                0.57108,                0.39434,                0.42164,                 0.2768,                0.85978,                0.59778,                0.88347,             0.00026536,             0.00026536,             0.00026536
                     20,                0.87825,                0.60511,                0.89779,                0.66012,                0.39173,                0.43675,                0.28323,                0.85657,                0.59853,                0.88293,             0.00025744,             0.00025744,             0.00025744
                     21,                0.87034,                0.60027,                0.89567,                 0.5945,                0.40648,                0.43091,                0.28054,                0.86138,                0.59827,                0.88444,             0.00024952,             0.00024952,             0.00024952
                     22,                0.86543,                0.59202,                0.89299,                0.68929,                0.38301,                0.43472,                0.28074,                0.85709,                0.59276,                0.88379,              0.0002416,              0.0002416,              0.0002416
                     23,                0.86501,                0.59111,                0.89462,                0.70209,                0.39478,                0.44627,                0.29242,                0.84796,                0.58472,                0.87808,             0.00023368,             0.00023368,             0.00023368
                     24,                0.85612,                0.58265,                0.89115,                0.65522,                0.40504,                0.45093,                0.29355,                0.84774,                0.58511,                0.88101,             0.00022576,             0.00022576,             0.00022576
                     25,                0.85314,                0.57894,                0.89083,                 0.6461,                 0.4107,                0.45152,                0.29282,                0.84071,                0.57652,                0.87764,             0.00021784,             0.00021784,             0.00021784
                     26,                0.85084,                0.57696,                 0.8897,                0.66078,                0.42262,                0.46759,                0.30868,                0.84015,                 0.5754,                0.87771,             0.00020992,             0.00020992,             0.00020992
                     27,                0.84568,                0.57167,                0.88917,                0.71568,                0.42082,                0.46556,                0.30689,                0.83191,                0.56674,                0.87703,               0.000202,               0.000202,               0.000202
                     28,                 0.8402,                0.56561,                0.88756,                0.62523,                 0.4165,                0.46301,                0.30585,                0.83304,                0.56877,                0.87824,             0.00019408,             0.00019408,             0.00019408
                     29,                 0.8374,                 0.5619,                  0.886,                0.69113,                0.41577,                0.47098,                0.31442,                 0.8333,                0.56402,                0.87618,             0.00018616,             0.00018616,             0.00018616
                     30,                 0.8335,                0.55932,                0.88475,                0.71023,                0.42756,                 0.4784,                0.31745,                0.82849,                0.56025,                0.87557,             0.00017824,             0.00017824,             0.00017824
                     31,                0.83231,                 0.5567,                0.88355,                0.64752,                0.42806,                0.47739,                0.32078,                0.82344,                0.55802,                0.87267,             0.00017032,             0.00017032,             0.00017032
                     32,                0.82698,                0.55243,                0.88382,                0.71739,                0.42054,                0.47704,                0.31675,                0.82088,                0.55384,                0.87393,              0.0001624,              0.0001624,              0.0001624
                     33,                0.82528,                0.54873,                0.88186,                0.68359,                0.43833,                0.47958,                0.31617,                0.81946,                0.55634,                0.87169,             0.00015448,             0.00015448,             0.00015448
                     34,                0.82209,                0.54636,                0.88095,                0.66289,                 0.4466,                0.47813,                0.31644,                0.81554,                 0.5516,                0.87184,             0.00014656,             0.00014656,             0.00014656
                     35,                0.81858,                0.54394,                0.88087,                0.73059,                0.44181,                0.48682,                0.32404,                0.81647,                0.54969,                0.87332,             0.00013864,             0.00013864,             0.00013864
                     36,                0.81793,                0.54258,                0.87997,                0.69001,                0.46089,                0.49116,                0.32578,                0.81288,                0.55039,                0.87138,             0.00013072,             0.00013072,             0.00013072
                     37,                0.81563,                 0.5382,                 0.8793,                 0.7241,                0.44195,                 0.4902,                0.32434,                0.81489,                0.55084,                0.87397,              0.0001228,              0.0001228,              0.0001228
                     38,                 0.8104,                0.53469,                0.87806,                0.65821,                0.44728,                0.48949,                0.32708,                0.81354,                0.54657,                0.87241,             0.00011488,             0.00011488,             0.00011488
                     39,                0.80751,                0.53363,                0.87786,                0.64794,                0.45587,                0.49516,                0.32987,                0.81252,                0.54394,                0.87268,             0.00010696,             0.00010696,             0.00010696
                     40,                0.80313,                0.52854,                0.87617,                0.71747,                0.44735,                0.49547,                0.32984,                0.81243,                0.54393,                0.87227,              9.904e-05,              9.904e-05,              9.904e-05
                     41,                 0.7976,                0.51459,                0.86673,                 0.6783,                0.44995,                0.48599,                0.32286,                0.82042,                0.54673,                0.87335,              9.112e-05,              9.112e-05,              9.112e-05
                     42,                0.78628,                0.50411,                0.86368,                0.64471,                0.44354,                0.49042,                0.32748,                0.81824,                0.54411,                0.87469,               8.32e-05,               8.32e-05,               8.32e-05
                     43,                0.78069,                0.50074,                0.86187,                  0.682,                0.44097,                0.49448,                0.33116,                0.81554,                0.54209,                0.87326,              7.528e-05,              7.528e-05,              7.528e-05
                     44,                 0.7765,                0.49607,                0.86171,                0.67495,                0.44359,                0.49658,                0.33242,                0.81113,                0.54073,                0.87286,              6.736e-05,              6.736e-05,              6.736e-05
                     45,                0.77206,                0.49368,                0.85893,                0.72449,                 0.4422,                0.49565,                0.33211,                0.81082,                0.53924,                0.87193,              5.944e-05,              5.944e-05,              5.944e-05
                     46,                0.76751,                 0.4906,                0.85873,                0.70546,                0.43906,                0.49689,                0.33168,                0.80818,                0.53814,                0.87161,              5.152e-05,              5.152e-05,              5.152e-05
                     47,                0.76191,                0.48626,                0.85714,                0.65088,                0.44633,                0.49712,                0.33435,                 0.8088,                0.53825,                0.87224,               4.36e-05,               4.36e-05,               4.36e-05
                     48,                0.75983,                0.48331,                0.85686,                0.73553,                0.43727,                0.49892,                 0.3359,                0.80703,                0.53683,                0.87189,              3.568e-05,              3.568e-05,              3.568e-05
                     49,                0.75677,                0.48103,                0.85569,                0.75532,                0.43281,                0.49966,                 0.3357,                0.80664,                 0.5351,                 0.8718,              2.776e-05,              2.776e-05,              2.776e-05
                     50,                0.75811,                0.48024,                0.85569,                0.68262,                0.44022,                 0.4993,                0.33403,                0.80631,                0.53475,                0.87128,              1.984e-05,              1.984e-05,              1.984e-05
