                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.77778,                 1.0892,                0.87358,                0.59899,                0.48283,                0.49406,                0.34178,                0.75566,                0.50631,                   0.86,              0.0033279,              0.0033279,              0.0033279
                      2,                0.77207,                0.54658,                 0.8725,                0.63752,                0.48656,                0.52818,                0.36564,                0.76645,                0.49676,                0.86379,              0.0066173,              0.0066173,              0.0066173
                      3,                0.79808,                0.54099,                0.87765,                0.56913,                 0.4564,                0.48663,                0.33103,                 0.7975,                0.51628,                0.87003,              0.0098626,              0.0098626,              0.0098626
                      4,                0.82493,                0.55027,                0.88518,                0.53727,                0.46263,                0.49818,                0.33613,                0.79908,                0.52597,                0.87185,               0.009802,               0.009802,               0.009802
                      5,                0.82447,                0.54571,                0.88601,                0.63037,                 0.4806,                0.51072,                0.35204,                0.79056,                0.51706,                0.87083,               0.009802,               0.009802,               0.009802
                      6,                0.82852,                0.54551,                0.88541,                0.65159,                 0.4746,                0.51217,                0.35051,                0.79449,                0.52176,                0.86691,               0.009736,               0.009736,               0.009736
                      7,                0.82562,                0.54274,                0.88633,                0.67188,                0.45021,                0.50805,                0.34732,                0.79333,                0.51191,                0.86714,                0.00967,                0.00967,                0.00967
                      8,                0.82354,                0.53904,                0.88443,                 0.6817,                 0.4662,                0.51302,                0.34313,                0.79838,                0.51764,                0.87083,               0.009604,               0.009604,               0.009604
                      9,                 0.8228,                0.53642,                0.88456,                0.71295,                0.44876,                0.49855,                0.34186,                0.79399,                0.51851,                0.86928,               0.009538,               0.009538,               0.009538
                     10,                0.81903,                0.53324,                0.88457,                0.62524,                0.47032,                0.52598,                0.35749,                 0.7858,                 0.5131,                0.86881,               0.009472,               0.009472,               0.009472
                     11,                0.82043,                0.53427,                0.88496,                0.65859,                0.49376,                0.52279,                0.35285,                 0.7828,                0.50863,                0.86925,               0.009406,               0.009406,               0.009406
                     12,                0.81701,                0.52963,                 0.8834,                 0.6961,                0.48714,                0.53357,                0.36452,                0.78572,                0.50861,                0.86393,                0.00934,                0.00934,                0.00934
                     13,                0.81642,                0.52963,                0.88308,                0.60402,                0.49519,                0.51344,                0.34881,                0.78323,                0.50584,                0.86726,               0.009274,               0.009274,               0.009274
