                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.70618,                0.43942,                0.85656,                0.70325,                 0.5162,                0.58812,                0.40428,                0.72993,                 0.4502,                0.85677,              0.0033279,              0.0033279,              0.0033279
                      2,                0.72328,                0.45155,                0.85915,                0.62282,                0.57659,                0.59256,                0.40166,                 0.7416,                0.46249,                0.86021,              0.0066298,              0.0066298,              0.0066298
                      3,                0.75689,                0.47556,                0.86573,                0.65096,                0.52909,                0.56052,                0.37413,                0.77815,                0.49232,                0.86603,              0.0099003,              0.0099003,              0.0099003
                      4,                0.78293,                0.49988,                0.87297,                0.63375,                0.51992,                 0.5454,                0.36726,                0.78163,                0.49631,                0.86866,              0.0098586,              0.0098586,              0.0098586
                      5,                0.78396,                0.50263,                0.87359,                0.54385,                0.51414,                0.51664,                0.34193,                0.77798,                0.49343,                0.86592,              0.0098586,              0.0098586,              0.0098586
                      6,                0.79099,                0.50476,                0.87444,                0.68962,                0.50911,                0.55348,                0.37466,                0.77678,                0.49226,                0.86731,              0.0098114,              0.0098114,              0.0098114
                      7,                0.79014,                0.50569,                0.87633,                0.60686,                0.49406,                 0.5289,                0.35077,                0.78002,                0.50375,                0.87211,              0.0097643,              0.0097643,              0.0097643
                      8,                 0.7887,                0.50444,                0.87449,                0.68013,                0.49095,                0.54068,                0.36171,                0.77374,                0.49508,                0.86738,              0.0097171,              0.0097171,              0.0097171
                      9,                0.79026,                0.50518,                0.87552,                0.68173,                0.48084,                0.55474,                 0.3707,                0.77318,                0.48826,                0.86609,                0.00967,                0.00967,                0.00967
                     10,                0.78647,                0.50272,                0.87494,                0.68813,                0.47756,                 0.5521,                0.37371,                0.77636,                0.49195,                0.86538,              0.0096229,              0.0096229,              0.0096229
                     11,                0.78832,                0.50467,                0.87552,                0.68736,                0.50246,                0.55853,                0.37622,                0.76489,                0.48561,                0.86293,              0.0095757,              0.0095757,              0.0095757
                     12,                0.78628,                0.49973,                0.87399,                0.63513,                0.53285,                 0.5716,                0.38485,                0.76231,                  0.485,                0.86401,              0.0095286,              0.0095286,              0.0095286
                     13,                0.78546,                0.50039,                0.87378,                0.68712,                0.50331,                0.55298,                0.37438,                0.76968,                0.48923,                0.86428,              0.0094814,              0.0094814,              0.0094814
