                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.70256,                0.43621,                0.85527,                0.72814,                0.52252,                0.58728,                0.40824,                0.72571,                0.44818,                0.85315,              0.0033279,              0.0033279,              0.0033279
                      2,                 0.7164,                 0.4467,                 0.8572,                0.70937,                0.53544,                0.58711,                0.40553,                0.73716,                0.45755,                  0.857,              0.0066283,              0.0066283,              0.0066283
                      3,                0.74737,                0.47043,                0.86329,                 0.6723,                 0.5071,                0.54925,                0.37395,                0.76408,                0.48608,                 0.8599,              0.0098956,              0.0098956,              0.0098956
                      4,                0.77368,                0.49269,                0.87017,                0.64729,                0.46962,                0.54444,                0.36497,                0.78335,                0.49314,                0.86625,              0.0098515,              0.0098515,              0.0098515
                      5,                0.77571,                0.49393,                0.87149,                0.68322,                0.49975,                0.55111,                0.37487,                0.77057,                0.48645,                0.86337,              0.0098515,              0.0098515,              0.0098515
                      6,                0.78261,                0.49842,                0.87168,                0.66005,                0.50197,                 0.5604,                0.38775,                0.77231,                0.49947,                0.86275,               0.009802,               0.009802,               0.009802
                      7,                0.78132,                 0.4988,                0.87266,                0.68288,                0.50434,                0.54304,                0.36311,                0.77361,                0.49323,                0.86735,              0.0097525,              0.0097525,              0.0097525
                      8,                0.78095,                0.49903,                0.87213,                0.60258,                0.52063,                0.54178,                 0.3654,                0.77066,                0.49066,                0.86454,               0.009703,               0.009703,               0.009703
                      9,                0.78082,                0.49708,                0.87223,                 0.6736,                 0.5084,                0.55294,                0.37435,                0.77156,                0.49087,                0.86556,              0.0096535,              0.0096535,              0.0096535
                     10,                0.77749,                0.49627,                0.87187,                0.70426,                0.48517,                0.54187,                0.36653,                0.77243,                0.48925,                0.86426,               0.009604,               0.009604,               0.009604
                     11,                0.78038,                0.49697,                0.87327,                0.68017,                0.49915,                0.54286,                0.36626,                0.76579,                0.48249,                0.86557,              0.0095545,              0.0095545,              0.0095545
                     12,                0.77725,                0.49391,                0.87153,                 0.6704,                 0.5177,                0.56659,                 0.3854,                0.76525,                0.48468,                0.86303,               0.009505,               0.009505,               0.009505
                     13,                0.77863,                0.49485,                0.87146,                0.66016,                0.52215,                0.56792,                0.38293,                0.76272,                0.48153,                0.86215,              0.0094555,              0.0094555,              0.0094555
                     14,                0.77109,                0.49153,                0.87052,                0.64753,                0.50376,                0.54856,                0.37314,                0.76218,                0.48533,                0.86439,               0.009406,               0.009406,               0.009406
                     15,                0.77591,                0.49358,                0.87067,                0.64064,                0.50937,                0.54895,                0.36982,                0.76468,                0.48618,                0.86256,              0.0093565,              0.0093565,              0.0093565
                     16,                0.77364,                0.49078,                0.87034,                0.65195,                0.49086,                0.55232,                0.37534,                0.76491,                0.48188,                0.86364,               0.009307,               0.009307,               0.009307
                     17,                0.77139,                0.49015,                0.86986,                0.63718,                0.50297,                0.54341,                0.36278,                0.76524,                0.48459,                0.86665,              0.0092575,              0.0092575,              0.0092575
                     18,                 0.7701,                0.48858,                0.86996,                0.69629,                 0.4917,                0.55003,                0.38333,                0.75911,                0.47921,                0.86587,               0.009208,               0.009208,               0.009208
                     19,                0.77185,                0.49014,                 0.8701,                 0.6738,                0.51063,                0.56717,                0.39176,                 0.7592,                0.47907,                0.86434,              0.0091585,              0.0091585,              0.0091585
                     20,                 0.7698,                0.48724,                0.86904,                0.65138,                0.51388,                0.54781,                  0.377,                0.75845,                0.48112,                0.86287,               0.009109,               0.009109,               0.009109
                     21,                0.76878,                0.48681,                0.86966,                0.69799,                0.48052,                 0.5521,                0.38028,                0.75126,                0.47601,                0.86274,              0.0090595,              0.0090595,              0.0090595
                     22,                0.76685,                0.48677,                0.86956,                0.69834,                0.51068,                0.56037,                0.38538,                 0.7515,                 0.4752,                0.85784,                0.00901,                0.00901,                0.00901
                     23,                0.76773,                0.48706,                0.87012,                0.63401,                0.52411,                0.56234,                0.38058,                0.75121,                0.47553,                0.86006,              0.0089605,              0.0089605,              0.0089605
