                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.77674,                 0.6776,                0.79038,                0.21624,                0.65802,                0.20013,                0.15185,                0.62414,                 3.7443,                0.77477,               0.008845,               0.008845,               0.008845
                     38,                0.77293,                0.67327,                0.79119,                0.21576,                0.66401,                0.19928,                0.15156,                0.62007,                 3.7702,                0.77467,               0.008812,               0.008812,               0.008812
                     39,                0.77334,                0.67805,                0.78944,                 0.2153,                0.66321,                0.20108,                0.15218,                0.61988,                 3.7681,                0.77457,               0.008779,               0.008779,               0.008779
                     40,                0.77452,                0.68026,                0.78978,                0.21293,                0.65825,                0.19974,                0.15151,                0.62295,                  3.779,                0.77468,               0.008746,               0.008746,               0.008746
                     41,                0.76771,                 0.6726,                0.78977,                0.21441,                0.64048,                 0.2055,                0.15673,                 0.6232,                 3.7934,                0.77454,               0.008713,               0.008713,               0.008713
                     42,                0.76761,                0.66833,                0.78998,                0.20887,                0.67345,                0.20298,                 0.1554,                0.62085,                 3.7921,                0.77439,                0.00868,                0.00868,                0.00868
                     43,                0.76073,                0.66797,                0.78882,                0.21938,                0.66099,                0.20397,                0.15686,                0.61734,                  3.797,                0.77415,               0.008647,               0.008647,               0.008647
                     44,                0.76534,                0.67053,                0.78909,                0.21799,                0.66473,                0.20611,                0.15786,                0.61331,                 3.7957,                0.77404,               0.008614,               0.008614,               0.008614
                     45,                0.76146,                0.66797,                0.78822,                0.22399,                0.64249,                0.20893,                0.15992,                0.61121,                  3.794,                0.77406,               0.008581,               0.008581,               0.008581
                     46,                0.75843,                0.66565,                0.78877,                0.22216,                0.64259,                0.20745,                0.15711,                0.60912,                 3.7907,                0.77399,               0.008548,               0.008548,               0.008548
                     47,                0.76122,                0.66508,                0.78857,                0.22055,                0.65099,                0.20703,                0.15703,                0.60978,                 3.7847,                0.77407,               0.008515,               0.008515,               0.008515
                     48,                0.75122,                0.65565,                0.78929,                0.22292,                0.64553,                0.20432,                0.15512,                0.60896,                 3.7904,                0.77393,               0.008482,               0.008482,               0.008482
                     49,                0.75013,                0.65686,                0.78908,                0.21859,                0.65891,                0.20613,                0.15639,                0.60709,                 3.7942,                0.77386,               0.008449,               0.008449,               0.008449
                     50,                0.74745,                0.65907,                0.78812,                0.21914,                0.65996,                0.20507,                0.15534,                 0.6059,                 3.7938,                0.77385,               0.008416,               0.008416,               0.008416
                     51,                 0.7435,                0.65619,                0.78789,                0.22106,                0.66173,                0.20463,                0.15543,                0.60479,                 3.7961,                0.77376,               0.008383,               0.008383,               0.008383
                     52,                 0.7477,                0.65731,                0.78795,                0.21985,                0.65657,                0.20493,                0.15584,                0.60317,                 3.7921,                0.77374,                0.00835,                0.00835,                0.00835
                     53,                0.74238,                0.65649,                0.78853,                0.22204,                0.65263,                0.20647,                0.15636,                0.60386,                 3.7937,                0.77369,               0.008317,               0.008317,               0.008317
                     54,                 0.7435,                0.65591,                0.78801,                0.22108,                0.65194,                0.20609,                 0.1558,                0.60293,                 3.7905,                 0.7736,               0.008284,               0.008284,               0.008284
                     55,                 0.7398,                0.65535,                0.78763,                 0.2205,                 0.6543,                0.20705,                0.15643,                0.60156,                 3.7857,                0.77353,               0.008251,               0.008251,               0.008251
                     56,                0.73907,                0.65641,                0.78753,                0.22098,                0.65145,                0.20899,                0.15823,                0.60108,                 3.7838,                 0.7735,               0.008218,               0.008218,               0.008218
                     57,                0.73619,                0.65122,                0.78799,                 0.2216,                0.65252,                0.21032,                0.16041,                0.60161,                 3.7803,                0.77335,               0.008185,               0.008185,               0.008185
                     58,                0.73607,                0.65032,                 0.7874,                0.22127,                0.65205,                0.20912,                0.15983,                0.60025,                 3.7781,                0.77318,               0.008152,               0.008152,               0.008152
                     59,                0.73081,                0.64844,                0.78695,                0.22126,                0.65658,                0.20978,                0.16004,                0.59935,                  3.777,                0.77316,               0.008119,               0.008119,               0.008119
                     60,                0.72982,                0.65057,                0.78741,                0.21965,                0.65907,                0.20817,                0.15921,                0.59806,                 3.7795,                0.77307,               0.008086,               0.008086,               0.008086
                     61,                 0.7305,                0.64668,                0.78642,                0.21941,                0.65838,                0.20835,                0.15909,                0.59754,                 3.7824,                0.77302,               0.008053,               0.008053,               0.008053
                     62,                0.72637,                0.64759,                0.78549,                0.21539,                0.66509,                0.20545,                 0.1564,                0.59664,                 3.7829,                0.77295,                0.00802,                0.00802,                0.00802
                     63,                0.72736,                0.64377,                0.78675,                0.21082,                0.67676,                0.20536,                0.15618,                0.59571,                 3.7807,                 0.7728,               0.007987,               0.007987,               0.007987
                     64,                0.72292,                0.64531,                0.78417,                0.21386,                0.68317,                0.20576,                0.15727,                0.59429,                 3.7831,                0.77269,               0.007954,               0.007954,               0.007954
                     65,                0.72272,                0.64602,                0.78574,                0.21496,                0.68911,                0.20805,                0.15893,                0.59363,                 3.7791,                0.77258,               0.007921,               0.007921,               0.007921
                     66,                0.72277,                0.64546,                0.78524,                0.21613,                0.67906,                0.20938,                0.15997,                0.59276,                 3.7776,                0.77262,               0.007888,               0.007888,               0.007888
                     67,                0.71935,                0.64084,                0.78617,                0.21493,                 0.6804,                0.21006,                0.16055,                0.59238,                 3.7758,                0.77254,               0.007855,               0.007855,               0.007855
                     68,                0.71741,                0.63863,                 0.7863,                0.21558,                0.68188,                0.20985,                0.16053,                0.59045,                 3.7772,                0.77253,               0.007822,               0.007822,               0.007822
                     69,                0.71648,                0.64259,                0.78541,                0.21168,                0.68964,                0.21006,                0.16093,                0.58957,                  3.777,                0.77242,               0.007789,               0.007789,               0.007789
                     70,                 0.7139,                0.63977,                0.78591,                0.21444,                0.69359,                0.21233,                0.16235,                0.58898,                 3.7757,                0.77243,               0.007756,               0.007756,               0.007756
                     71,                0.71383,                0.63692,                 0.7857,                0.21182,                 0.6883,                  0.212,                 0.1621,                0.58818,                 3.7748,                0.77235,               0.007723,               0.007723,               0.007723
                     72,                0.72007,                0.63874,                0.78696,                0.21983,                0.65968,                0.21277,                0.16274,                0.58891,                 3.7758,                0.77228,                0.00769,                0.00769,                0.00769
                     73,                0.71533,                0.63587,                0.78505,                 0.2214,                0.65976,                0.21181,                0.16198,                0.58845,                 3.7833,                0.77215,               0.007657,               0.007657,               0.007657
                     74,                0.71509,                0.63396,                0.78439,                0.22153,                0.66058,                 0.2129,                0.16278,                0.58712,                 3.7821,                0.77213,               0.007624,               0.007624,               0.007624
                     75,                0.71119,                0.63356,                0.78474,                0.22173,                0.66038,                0.21338,                0.16314,                0.58681,                 3.7831,                0.77204,               0.007591,               0.007591,               0.007591
                     76,                0.71192,                0.63468,                0.78516,                0.21921,                0.67496,                0.21273,                0.16253,                0.58624,                 3.7807,                0.77195,               0.007558,               0.007558,               0.007558
                     77,                0.70773,                0.63014,                0.78409,                0.22068,                0.67274,                0.21262,                0.16275,                0.58443,                 3.7764,                0.77186,               0.007525,               0.007525,               0.007525
                     78,                0.71081,                 0.6302,                0.78468,                0.20431,                0.76156,                 0.2126,                0.16346,                0.58442,                 3.7814,                0.77183,               0.007492,               0.007492,               0.007492
                     79,                0.70655,                0.62835,                0.78406,                0.22035,                0.66746,                0.21361,                0.16404,                0.58356,                 3.7819,                0.77177,               0.007459,               0.007459,               0.007459
                     80,                0.70248,                0.63469,                0.78514,                0.22058,                0.66675,                0.21266,                0.16354,                 0.5835,                  3.779,                0.77173,               0.007426,               0.007426,               0.007426
                     81,                0.70582,                0.62868,                0.78455,                0.22108,                0.66529,                0.21283,                0.16339,                0.58417,                 3.7821,                0.77159,               0.007393,               0.007393,               0.007393
                     82,                0.70375,                0.62767,                0.78466,                0.22099,                 0.6648,                0.21217,                0.16237,                0.58324,                 3.7856,                0.77164,                0.00736,                0.00736,                0.00736
                     83,                0.70538,                 0.6224,                0.78587,                0.22129,                0.66599,                0.21256,                0.16378,                 0.5834,                 3.7923,                0.77152,               0.007327,               0.007327,               0.007327
                     84,                0.69367,                0.62362,                 0.7822,                0.22396,                0.67117,                0.21296,                0.16341,                0.58212,                 3.7874,                0.77147,               0.007294,               0.007294,               0.007294
                     85,                0.69895,                0.63016,                 0.7828,                0.22437,                0.67313,                0.21299,                0.16288,                0.58172,                 3.7904,                 0.7714,               0.007261,               0.007261,               0.007261
                     86,                0.69602,                0.62971,                0.78316,                0.22473,                0.67653,                0.21364,                 0.1637,                0.58078,                 3.7894,                 0.7714,               0.007228,               0.007228,               0.007228
                     87,                0.69765,                0.62232,                 0.7845,                  0.225,                 0.6766,                0.21328,                0.16318,                0.58081,                 3.7856,                 0.7714,               0.007195,               0.007195,               0.007195
                     88,                0.69402,                 0.6256,                0.78367,                0.22432,                0.67599,                0.21268,                0.16313,                0.57917,                 3.7872,                0.77134,               0.007162,               0.007162,               0.007162
                     89,                0.69578,                0.62006,                0.78254,                0.21491,                0.68952,                0.21413,                 0.1639,                0.57891,                 3.7893,                0.77134,               0.007129,               0.007129,               0.007129
                     90,                0.69763,                0.61943,                0.78378,                0.21346,                0.68955,                0.21425,                0.16441,                0.57848,                 3.7915,                0.77131,               0.007096,               0.007096,               0.007096
                     91,                0.69496,                0.61961,                0.78483,                0.21278,                0.69005,                0.21487,                0.16581,                0.57854,                 3.7946,                0.77122,               0.007063,               0.007063,               0.007063
                     92,                0.69253,                0.62269,                0.78278,                0.21162,                0.69087,                0.21435,                0.16437,                0.57814,                 3.7954,                0.77109,                0.00703,                0.00703,                0.00703
                     93,                0.69106,                   0.62,                0.78254,                0.21754,                0.68689,                0.21614,                0.16606,                0.57678,                 3.7995,                0.77104,               0.006997,               0.006997,               0.006997
                     94,                0.69082,                0.62517,                0.78237,                0.22301,                0.67652,                0.21635,                 0.1662,                0.57677,                 3.7991,                0.77103,               0.006964,               0.006964,               0.006964
                     95,                0.68924,                0.62425,                0.78415,                0.22317,                0.67766,                0.21763,                0.16714,                 0.5769,                 3.8057,                0.77094,               0.006931,               0.006931,               0.006931
                     96,                0.68636,                0.62585,                0.78329,                0.22264,                 0.6608,                0.21756,                 0.1667,                 0.5761,                 3.8026,                0.77093,               0.006898,               0.006898,               0.006898
                     97,                0.69262,                0.62597,                0.78289,                0.22273,                0.65771,                0.21705,                 0.1665,                0.57477,                 3.8031,                0.77092,               0.006865,               0.006865,               0.006865
                     98,                0.68493,                0.61447,                 0.7836,                0.22333,                0.65827,                0.21638,                0.16598,                0.57447,                 3.8051,                0.77087,               0.006832,               0.006832,               0.006832
                     99,                0.68762,                0.62454,                0.78263,                0.22422,                0.65844,                0.21706,                0.16661,                 0.5737,                 3.8037,                0.77077,               0.006799,               0.006799,               0.006799
                    100,                0.67965,                0.61141,                0.78196,                 0.2258,                0.66094,                0.21657,                0.16634,                0.57363,                 3.8039,                0.77069,               0.006766,               0.006766,               0.006766
                    101,                0.68439,                0.61222,                0.78268,                0.22613,                0.66067,                0.21968,                0.16967,                0.57253,                 3.8065,                0.77064,               0.006733,               0.006733,               0.006733
                    102,                0.68207,                   0.61,                0.78219,                0.22534,                0.65895,                0.21986,                0.17002,                0.57109,                 3.8108,                0.77058,                 0.0067,                 0.0067,                 0.0067
                    103,                0.68915,                0.62692,                 0.7834,                  0.223,                0.67741,                0.22038,                0.17039,                0.57106,                 3.8092,                0.77057,               0.006667,               0.006667,               0.006667
                    104,                0.68215,                0.61668,                0.78254,                0.22179,                0.67684,                 0.2208,                0.17045,                0.56965,                 3.8123,                0.77048,               0.006634,               0.006634,               0.006634
                    105,                0.68054,                0.61679,                 0.7829,                0.22245,                0.68419,                0.21921,                0.16973,                0.56928,                 3.8102,                0.77041,               0.006601,               0.006601,               0.006601
                    106,                0.67572,                0.61049,                0.78275,                0.22282,                 0.6754,                0.21793,                0.16899,                0.56729,                 3.8147,                0.77036,               0.006568,               0.006568,               0.006568
                    107,                0.67779,                0.61223,                0.78289,                0.21893,                0.68299,                0.21805,                0.16974,                0.56646,                   3.81,                0.77043,               0.006535,               0.006535,               0.006535
                    108,                0.67619,                0.61378,                0.78286,                 0.2205,                 0.6906,                0.22033,                0.17161,                0.56677,                 3.8096,                0.77028,               0.006502,               0.006502,               0.006502
                    109,                0.67583,                0.60952,                0.78265,                0.21983,                0.69492,                0.21902,                0.17094,                0.56536,                 3.8088,                0.77022,               0.006469,               0.006469,               0.006469
                    110,                0.67508,                0.60769,                0.78193,                0.21636,                0.69772,                0.21928,                0.17076,                0.56543,                 3.8094,                0.77017,               0.006436,               0.006436,               0.006436
                    111,                0.67385,                0.60846,                0.78276,                0.21705,                 0.6965,                0.21987,                0.17133,                0.56494,                 3.8174,                0.77013,               0.006403,               0.006403,               0.006403
                    112,                0.67129,                0.60739,                 0.7826,                0.21581,                 0.6969,                0.22236,                0.17347,                0.56447,                 3.8132,                 0.7701,                0.00637,                0.00637,                0.00637
                    113,                0.67619,                0.61135,                0.78163,                0.21311,                0.68685,                0.22536,                0.17602,                0.56423,                  3.816,                0.77008,               0.006337,               0.006337,               0.006337
                    114,                0.67174,                0.60547,                0.78184,                0.21346,                0.68656,                0.22318,                0.17446,                0.56365,                 3.8198,                0.77004,               0.006304,               0.006304,               0.006304
                    115,                0.67161,                0.61331,                0.78226,                0.21733,                0.68931,                0.22296,                0.17431,                0.56324,                 3.8165,                0.77006,               0.006271,               0.006271,               0.006271
                    116,                0.66959,                0.61491,                0.78238,                0.21738,                0.68967,                0.22225,                0.17349,                0.56345,                 3.8182,                0.76994,               0.006238,               0.006238,               0.006238
                    117,                0.67123,                0.60674,                0.78238,                  0.218,                0.68858,                0.22316,                0.17451,                0.56159,                  3.821,                 0.7699,               0.006205,               0.006205,               0.006205
                    118,                0.66901,                0.61456,                0.78072,                0.21836,                  0.689,                0.22449,                0.17561,                0.56247,                 3.8194,                0.76985,               0.006172,               0.006172,               0.006172
                    119,                0.66601,                0.60752,                 0.7812,                0.21823,                0.69003,                0.22605,                0.17695,                0.56233,                 3.8215,                0.76973,               0.006139,               0.006139,               0.006139
                    120,                0.66398,                0.61424,                0.78124,                0.22185,                0.67489,                 0.2251,                 0.1761,                0.56207,                 3.8222,                0.76965,               0.006106,               0.006106,               0.006106
                    121,                0.66494,                0.60225,                0.78158,                0.22255,                0.67471,                 0.2258,                0.17676,                0.56243,                  3.827,                0.76961,               0.006073,               0.006073,               0.006073
                    122,                0.66613,                0.60767,                0.78126,                0.22686,                0.67796,                0.23001,                0.18098,                0.56166,                 3.8254,                0.76966,                0.00604,                0.00604,                0.00604
