                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.75758,                 0.4809,                0.86524,                0.64359,                0.48444,                0.54201,                0.35794,                0.76787,                0.49181,                0.86115,              0.0033281,              0.0033281,              0.0033281
                      2,                0.77108,                 0.4902,                0.86758,                0.66341,                0.48747,                0.53225,                0.35022,                0.78377,                0.50657,                0.86298,              0.0066175,              0.0066175,              0.0066175
                      3,                0.80158,                0.51293,                0.87183,                0.70017,                0.44438,                0.50471,                0.32924,                0.80935,                0.53411,                0.86758,              0.0098629,              0.0098629,              0.0098629
                      4,                0.83249,                0.53796,                0.87994,                0.66478,                0.42506,                0.46952,                0.30225,                0.82804,                0.54529,                0.87182,               0.009802,               0.009802,               0.009802
                      5,                0.83366,                0.54066,                0.87979,                0.67096,                 0.4582,                0.50241,                0.32805,                0.81345,                0.53556,                 0.8706,               0.009802,               0.009802,               0.009802
                      6,                0.83465,                 0.5405,                0.88071,                  0.586,                 0.4555,                0.49386,                 0.3272,                0.81924,                0.53659,                0.86956,               0.009736,               0.009736,               0.009736
                      7,                0.82737,                0.53758,                0.87886,                0.64811,                0.43999,                0.50021,                0.32874,                0.81417,                 0.5412,                0.86947,                0.00967,                0.00967,                0.00967
                      8,                0.82685,                0.53686,                0.87881,                0.71333,                0.45572,                0.50106,                0.32515,                0.81727,                0.53993,                0.87111,               0.009604,               0.009604,               0.009604
                      9,                0.82764,                0.53551,                 0.8802,                0.62733,                0.47394,                 0.5036,                0.32632,                0.80938,                0.53489,                0.86739,               0.009538,               0.009538,               0.009538
                     10,                0.82646,                0.53482,                0.87834,                0.62445,                0.44616,                0.49565,                 0.3218,                0.81689,                 0.5303,                0.87339,               0.009472,               0.009472,               0.009472
                     11,                0.82406,                0.53298,                0.87743,                0.64269,                0.46345,                0.51076,                0.33357,                0.80962,                0.53208,                0.86612,               0.009406,               0.009406,               0.009406
                     12,                0.82397,                0.53219,                0.87891,                0.63507,                0.45537,                0.50963,                0.32958,                0.80154,                0.52299,                 0.8705,                0.00934,                0.00934,                0.00934
                     13,                 0.8215,                0.53015,                0.87785,                0.62337,                0.45946,                0.49585,                0.32612,                0.80596,                0.52636,                0.86894,               0.009274,               0.009274,               0.009274
                     14,                0.81713,                 0.5266,                0.87651,                 0.6539,                0.44606,                0.50267,                0.33029,                0.80085,                0.52371,                0.87034,               0.009208,               0.009208,               0.009208
                     15,                0.82046,                0.52776,                0.87739,                0.62672,                0.45708,                0.50009,                0.32552,                0.80191,                 0.5227,                0.86786,               0.009142,               0.009142,               0.009142
                     16,                  0.818,                0.52738,                0.87748,                0.65987,                0.46221,                0.49795,                0.32909,                0.80043,                0.52658,                0.86808,               0.009076,               0.009076,               0.009076
                     17,                0.81518,                0.52527,                0.87607,                0.65058,                0.47743,                0.52466,                0.34301,                0.79974,                0.51904,                0.86855,                0.00901,                0.00901,                0.00901
                     18,                 0.8116,                0.52153,                0.87533,                0.71299,                0.46393,                0.51681,                0.33887,                0.79286,                0.51237,                0.86588,               0.008944,               0.008944,               0.008944
