                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.82497,                0.54393,                0.87843,                0.69585,                 0.4329,                0.48152,                0.31096,                0.84703,                0.57525,                0.87801,              0.0033282,              0.0033282,              0.0033282
                      2,                0.90184,                0.58888,                0.89338,                0.64608,                 0.3998,                0.44544,                0.27933,                0.92677,                0.63339,                0.89692,              0.0066175,              0.0066175,              0.0066175
                      3,                0.96669,                0.63458,                 0.9099,                0.64316,                0.36658,                0.41216,                0.25322,                  0.955,                0.67651,                0.90573,              0.0098629,              0.0098629,              0.0098629
                      4,                 1.0052,                0.67845,                0.92508,                0.60719,                0.37373,                 0.4027,                0.24657,                0.94419,                0.68494,                0.90653,               0.009802,               0.009802,               0.009802
                      5,                0.99508,                0.67744,                0.92272,                0.61489,                0.38599,                0.41814,                0.26086,                0.94748,                 0.6742,                 0.9091,               0.009802,               0.009802,               0.009802
                      6,                0.97569,                0.66703,                0.92032,                0.58657,                0.37252,                0.39288,                0.24534,                0.92921,                0.68397,                0.91054,               0.009736,               0.009736,               0.009736
                      7,                0.96592,                0.66171,                0.91743,                0.58474,                0.38003,                0.41294,                0.26433,                0.92969,                0.66442,                0.90794,                0.00967,                0.00967,                0.00967
                      8,                0.96003,                0.65578,                0.91563,                0.55692,                0.37021,                0.41408,                0.25764,                0.91816,                 0.6606,                0.90064,               0.009604,               0.009604,               0.009604
                      9,                0.95231,                0.65092,                0.91609,                0.67857,                0.37426,                0.41618,                  0.265,                0.91536,                0.64467,                0.89817,               0.009538,               0.009538,               0.009538
                     10,                0.94121,                0.64051,                0.91185,                0.61284,                0.39247,                0.42383,                0.26862,                0.90162,                0.63722,                0.89941,               0.009472,               0.009472,               0.009472
                     11,                0.93508,                0.63316,                0.91035,                0.62561,                 0.3896,                0.43042,                0.27246,                0.89026,                 0.6231,                0.89424,               0.009406,               0.009406,               0.009406
                     12,                0.92906,                 0.6331,                0.90767,                0.66016,                0.40205,                0.44034,                0.28589,                0.88927,                0.62224,                0.89116,                0.00934,                0.00934,                0.00934
                     13,                0.92234,                0.62673,                0.90688,                0.65794,                0.39355,                0.43374,                0.28133,                0.87877,                0.61656,                0.88965,               0.009274,               0.009274,               0.009274
                     14,                0.91165,                0.61828,                 0.9039,                0.59508,                0.42233,                0.45232,                 0.2883,                0.87377,                0.60373,                0.88941,               0.009208,               0.009208,               0.009208
                     15,                0.90993,                0.61595,                0.90367,                0.59869,                0.39977,                0.44052,                0.28426,                0.87852,                0.60107,                0.89043,               0.009142,               0.009142,               0.009142
                     16,                0.90805,                0.61515,                0.90454,                 0.6861,                0.38881,                0.44379,                0.28871,                0.87348,                0.60429,                0.89105,               0.009076,               0.009076,               0.009076
                     17,                0.89977,                0.60777,                0.90076,                0.65088,                0.40486,                0.45397,                0.29389,                0.87522,                0.59544,                0.89034,                0.00901,                0.00901,                0.00901
                     18,                0.89714,                0.60485,                 0.9011,                0.62693,                0.43004,                0.45964,                0.29633,                0.85584,                 0.5869,                0.88566,               0.008944,               0.008944,               0.008944
                     19,                 0.8909,                0.60031,                0.89852,                0.70171,                0.41928,                0.46701,                0.30465,                0.85744,                0.59351,                0.88705,               0.008878,               0.008878,               0.008878
                     20,                0.88941,                0.59682,                0.89875,                0.71102,                0.41671,                0.46478,                0.30594,                0.84888,                0.58083,                 0.8862,               0.008812,               0.008812,               0.008812
                     21,                0.88503,                0.59431,                0.89803,                0.67352,                0.42385,                0.46704,                0.30819,                0.85421,                0.58866,                0.88484,               0.008746,               0.008746,               0.008746
                     22,                0.87938,                0.58906,                0.89552,                0.65536,                0.42489,                0.47534,                0.30797,                 0.8472,                0.57753,                0.88258,                0.00868,                0.00868,                0.00868
                     23,                0.87883,                0.58948,                0.89675,                0.68971,                0.43114,                 0.4792,                0.31285,                0.84163,                0.57818,                0.88312,               0.008614,               0.008614,               0.008614
                     24,                0.87322,                 0.5837,                0.89364,                0.63801,                0.42834,                0.47438,                0.31666,                0.84361,                0.58211,                0.87961,               0.008548,               0.008548,               0.008548
                     25,                0.86968,                0.58083,                0.89393,                0.69038,                0.43927,                0.48456,                0.32021,                  0.842,                0.57613,                0.88206,               0.008482,               0.008482,               0.008482
                     26,                0.86912,                 0.5806,                 0.8933,                0.68903,                0.44926,                0.49397,                0.32466,                0.83673,                0.56696,                0.88181,               0.008416,               0.008416,               0.008416
                     27,                0.86581,                0.57629,                0.89334,                0.60729,                0.45346,                0.49304,                0.32593,                0.83124,                0.56402,                0.88065,                0.00835,                0.00835,                0.00835
                     28,                0.86116,                0.57316,                0.89193,                0.64923,                0.44801,                0.49701,                0.32817,                0.82745,                0.56528,                0.87903,               0.008284,               0.008284,               0.008284
                     29,                0.85894,                 0.5696,                0.89058,                0.63155,                0.46189,                0.49084,                0.32455,                0.82506,                0.56096,                0.87874,               0.008218,               0.008218,               0.008218
                     30,                0.85658,                 0.5688,                0.88931,                 0.7102,                0.43556,                 0.4869,                0.32545,                0.82129,                 0.5584,                0.87724,               0.008152,               0.008152,               0.008152
                     31,                0.85481,                0.56706,                0.88861,                0.61572,                0.44525,                0.49342,                0.32767,                0.82192,                 0.5583,                  0.876,               0.008086,               0.008086,               0.008086
                     32,                 0.8501,                0.56445,                0.88917,                0.65699,                0.43206,                0.49369,                0.32894,                0.81774,                0.55102,                 0.8771,                0.00802,                0.00802,                0.00802
                     33,                0.85032,                0.56138,                0.88776,                0.73644,                0.42956,                0.49381,                0.33122,                0.81459,                0.55293,                0.87576,               0.007954,               0.007954,               0.007954
                     34,                0.84679,                0.56127,                0.88631,                0.66638,                0.45561,                0.50154,                0.33335,                0.81036,                0.54522,                0.87469,               0.007888,               0.007888,               0.007888
                     35,                0.84534,                0.55966,                0.88665,                  0.715,                0.44061,                0.50136,                0.33521,                 0.8084,                0.54162,                0.87368,               0.007822,               0.007822,               0.007822
                     36,                0.84605,                 0.5596,                 0.8868,                0.72571,                0.44643,                 0.5044,                0.33913,                0.81123,                0.54489,                0.87562,               0.007756,               0.007756,               0.007756
                     37,                0.84317,                0.55441,                0.88598,                 0.7258,                0.44892,                 0.5114,                0.34686,                0.80741,                0.54055,                0.87475,                0.00769,                0.00769,                0.00769
                     38,                0.83948,                0.55299,                0.88519,                0.77899,                 0.4406,                0.51323,                0.34419,                0.80481,                0.53953,                 0.8752,               0.007624,               0.007624,               0.007624
                     39,                0.83825,                0.55314,                0.88541,                 0.7409,                0.46103,                0.51703,                0.34687,                0.80169,                0.53642,                0.87287,               0.007558,               0.007558,               0.007558
                     40,                0.83494,                0.54914,                0.88372,                0.71435,                0.45551,                0.51583,                0.34804,                0.80115,                  0.533,                0.87387,               0.007492,               0.007492,               0.007492
                     41,                0.83155,                0.54607,                0.88313,                0.65979,                0.46782,                0.51288,                0.34538,                0.79964,                  0.532,                0.87447,               0.007426,               0.007426,               0.007426
                     42,                0.83185,                0.54727,                0.88253,                0.76293,                0.45616,                0.52252,                0.35366,                0.79741,                0.52744,                0.87243,                0.00736,                0.00736,                0.00736
                     43,                0.82825,                 0.5434,                 0.8819,                0.69091,                0.48145,                0.52055,                0.34936,                0.79372,                0.53156,                 0.8696,               0.007294,               0.007294,               0.007294
                     44,                 0.8313,                0.54643,                0.88324,                0.73032,                0.46222,                0.51989,                0.34649,                 0.7952,                0.53206,                0.87333,               0.007228,               0.007228,               0.007228
                     45,                0.82752,                 0.5424,                0.88085,                0.71873,                0.46012,                0.51489,                0.34809,                0.79379,                0.52828,                0.87255,               0.007162,               0.007162,               0.007162
                     46,                0.81991,                0.53723,                0.87889,                0.68749,                0.47222,                 0.5261,                0.35269,                 0.7902,                0.52742,                0.87205,               0.007096,               0.007096,               0.007096
                     47,                0.82356,                0.53865,                0.87953,                0.71292,                0.47437,                0.52735,                0.35708,                0.78689,                0.52407,                0.87169,                0.00703,                0.00703,                0.00703
